user_id,relation_type,identifier,relation_weight
U0002554,device,DEVICE_0002914,1.0
U0002554,email,EMAIL_0005598,0.85
U0002554,mobile,MOBILE_0002397,0.95
U0002554,kyc_id,KYC_ID_0003922,1.0
U0002554,withdraw_address,WITHDRAW_ADDRESS_0004070,1.0
U0002554,ip,IP_0002585,0.25
U0001691,device,DEVICE_0000495,1.0
U0001691,email,EMAIL_0002777,0.85
U0001691,mobile,MOBILE_0003454,0.95
U0001691,kyc_id,KYC_ID_0000392,1.0
U0001691,withdraw_address,WITHDRAW_ADDRESS_0000371,1.0
U0001691,ip,IP_0002511,0.25
U0002729,device,DEVICE_0005695,1.0
U0002729,email,EMAIL_0006885,0.85
U0002729,mobile,MOBILE_0008816,0.95
U0002729,kyc_id,KYC_ID_0002500,1.0
U0002729,withdraw_address,WITHDRAW_ADDRESS_0003479,1.0
U0002729,ip,IP_0003349,0.25
U0001794,device,DEVICE_0003509,1.0
U0001794,email,EMAIL_0004559,0.85
U0001794,mobile,MOBILE_0008316,0.95
U0001794,kyc_id,KYC_ID_0008824,1.0
U0001794,withdraw_address,WITHDRAW_ADDRESS_0004220,1.0
U0001794,ip,IP_0002588,0.25
U0001846,device,DEVICE_0006255,1.0
U0001846,email,EMAIL_0007705,0.85
U0001846,mobile,MOBILE_0004178,0.95
U0001846,kyc_id,KYC_ID_0006563,1.0
U0001846,withdraw_address,WITHDRAW_ADDRESS_0005081,1.0
U0001846,ip,IP_0000762,0.25
U0000105,device,DEVICE_0005661,1.0
U0000105,email,EMAIL_0007387,0.85
U0000105,mobile,MOBILE_0004473,0.95
U0000105,kyc_id,KYC_ID_0004200,1.0
U0000105,withdraw_address,WITHDRAW_ADDRESS_0002815,1.0
U0000105,ip,IP_0001021,0.25
U0000105,ip,IP_0001382,0.25
U0000348,device,DEVICE_0004818,1.0
U0000348,email,EMAIL_0001033,0.85
U0000348,mobile,MOBILE_0000906,0.95
U0000348,kyc_id,KYC_ID_0002019,1.0
U0000348,withdraw_address,WITHDRAW_ADDRESS_0003263,1.0
U0000348,ip,IP_0000326,0.25
U0005882,device,DEVICE_0001774,1.0
U0005882,email,EMAIL_0008741,0.85
U0005882,mobile,MOBILE_0004008,0.95
U0005882,kyc_id,KYC_ID_0006201,1.0
U0005882,withdraw_address,WITHDRAW_ADDRESS_0004228,1.0
U0005882,ip,IP_0002209,0.25
U0005095,device,DEVICE_0002654,1.0
U0005095,email,EMAIL_0002253,0.85
U0005095,mobile,MOBILE_0001922,0.95
U0005095,kyc_id,KYC_ID_0006583,1.0
U0005095,withdraw_address,WITHDRAW_ADDRESS_0007618,1.0
U0005095,ip,IP_0001650,0.25
U0005095,ip,IP_0000909,0.25
U0003653,device,DEVICE_0000626,1.0
U0003653,email,EMAIL_0004664,0.85
U0003653,mobile,MOBILE_0004736,0.95
U0003653,kyc_id,KYC_ID_0002752,1.0
U0003653,withdraw_address,WITHDRAW_ADDRESS_0007771,1.0
U0003653,ip,IP_0002792,0.25
U0005116,device,DEVICE_0003905,1.0
U0005116,email,EMAIL_0004029,0.85
U0005116,mobile,MOBILE_0005410,0.95
U0005116,kyc_id,KYC_ID_0006318,1.0
U0005116,withdraw_address,WITHDRAW_ADDRESS_0007142,1.0
U0005116,ip,IP_0002283,0.25
U0003499,device,DEVICE_0001620,1.0
U0003499,email,EMAIL_0001562,0.85
U0003499,mobile,MOBILE_0009359,0.95
U0003499,kyc_id,KYC_ID_0007889,1.0
U0003499,withdraw_address,WITHDRAW_ADDRESS_0002893,1.0
U0003499,ip,IP_0003346,0.25
U0002262,device,DEVICE_0003613,1.0
U0002262,email,EMAIL_0005966,0.85
U0002262,mobile,MOBILE_0009027,0.95
U0002262,kyc_id,KYC_ID_0002570,1.0
U0002262,withdraw_address,WITHDRAW_ADDRESS_0003871,1.0
U0002262,ip,IP_0002247,0.25
U0002262,ip,IP_0002295,0.25
U0002262,withdraw_address,WITHDRAW_ADDRESS_0002222,1.0
U0005768,device,DEVICE_0004336,1.0
U0005768,email,EMAIL_0005995,0.85
U0005768,mobile,MOBILE_0000806,0.95
U0005768,kyc_id,KYC_ID_0009462,1.0
U0005768,withdraw_address,WITHDRAW_ADDRESS_0003765,1.0
U0005768,ip,IP_0002952,0.25
U0005768,withdraw_address,WITHDRAW_ADDRESS_0000776,1.0
U0005214,device,DEVICE_0004002,1.0
U0005214,email,EMAIL_0001892,0.85
U0005214,mobile,MOBILE_0005673,0.95
U0005214,kyc_id,KYC_ID_0004284,1.0
U0005214,withdraw_address,WITHDRAW_ADDRESS_0004225,1.0
U0005214,ip,IP_0000127,0.25
U0007751,device,DEVICE_0004766,1.0
U0007751,email,EMAIL_0009069,0.85
U0007751,mobile,MOBILE_0004733,0.95
U0007751,kyc_id,KYC_ID_0000236,1.0
U0007751,withdraw_address,WITHDRAW_ADDRESS_0005505,1.0
U0007751,ip,IP_0000185,0.25
U0007751,ip,IP_0001460,0.25
