transaction_id,event_time,user_id,event_type,source_entity,destination_entity,asset,amount_usdt,new_beneficiary_flag,high_risk_address_flag,sanctioned_address_flag,mixer_exposure,gambling_exposure,counterparty_country_risk,minutes_since_kyc,label_suspicious,fraud_confirmed,aml_suspicion_confirmed,case_disposition,sar_str_filed,label_observed_at,source_system,schema_version
TX-000003438,2026-01-02 07:21:00,U0001846,CHAIN_DEPOSIT,wallet::003438,user::U0001846,TRY,925.77013767,0,1,0,0.31276431543399086,0.2467025331186924,0.46909634328702393,1881.0,1,0,1,confirmed_suspicious,0,2026-02-01 07:21:00,synthetic_event_hub,transaction_event.v1
TX-000002354,2026-01-03 16:24:00,U0000611,CHAIN_WITHDRAW,user::U0000611,wallet::002354,USDT,1703.93311357,0,0,0,0.04113587927180998,0.010433350478249753,0.09586778153918955,3864.0,0,0,0,cleared,0,2026-02-02 16:24:00,synthetic_event_hub,transaction_event.v1
TX-000017455,2026-01-04 01:16:00,U0000619,CHAIN_WITHDRAW,user::U0000619,wallet::005255,USDT,3712.42929964,1,0,0,0.010559236086387806,0.00010854567357028958,0.01992146889185951,4396.0,0,0,0,cleared,0,2026-02-03 01:16:00,synthetic_event_hub,transaction_event.v1
TX-000015702,2026-01-04 04:03:00,U0004074,SPOT_TRADE,user::U0004074,user::U0004074,BTC,3629.19568621,0,0,0,0.0,0.0,0.2951909052769499,4563.0,0,0,0,cleared,0,2026-02-03 04:03:00,synthetic_event_hub,transaction_event.v1
TX-000013187,2026-01-04 07:41:00,U0005511,SPOT_TRADE,user::U0005511,user::U0005511,USDT,131.57433391,0,0,0,0.0,0.0,0.026280374152790397,1901.0,0,0,0,cleared,0,2026-02-03 07:41:00,synthetic_event_hub,transaction_event.v1
TX-000003131,2026-01-04 13:47:00,U0008488,FIAT_WITHDRAW,user::U0008488,bank::01231,TRY,9337.41654581,0,0,0,0.0,0.0,0.2851518938827309,5147.0,0,0,0,cleared,0,2026-02-03 13:47:00,synthetic_event_hub,transaction_event.v1
TX-000017135,2026-01-04 14:48:00,U0000429,FIAT_WITHDRAW,user::U0000429,bank::00035,USDT,88.94275085,1,0,0,0.0,0.0,0.20482063727777214,2328.0,0,0,0,cleared,0,2026-02-03 14:48:00,synthetic_event_hub,transaction_event.v1
TX-000001529,2026-01-04 21:36:00,U0004554,CONVERT,user::U0004554,user::U0004554,TRY,422.31177159,0,0,0,0.0,0.0,0.09599693169673233,5616.0,0,0,0,cleared,0,2026-02-03 21:36:00,synthetic_event_hub,transaction_event.v1
TX-000008281,2026-01-05 02:15:00,U0007118,CONVERT,user::U0007118,user::U0007118,USDT,356.35312578,0,0,0,0.0,0.0,0.08179418711421262,4455.0,0,0,0,cleared,0,2026-02-04 02:15:00,synthetic_event_hub,transaction_event.v1
TX-000005991,2026-01-05 02:39:00,U0004676,FIAT_DEPOSIT,bank::00891,user::U0004676,USDT,837.93180943,0,0,0,0.0,0.0,0.27629120269142265,4479.0,0,0,0,cleared,0,2026-02-04 02:39:00,synthetic_event_hub,transaction_event.v1
