feature,dtype,missing_rate,unique_count,auc_1d,ks_1d,iv,lift_top_10,cramer_v,psi,direction,recommended,notes
behavior_event_count_30d,numeric,0.0,64,0.8868642601776036,0.7054549648252797,2.7094923843917798,7.304347826086956,,0.003265263207006759,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
fraud_graph_score,numeric,0.0,148,0.8740837273670858,0.6220043824241726,2.2249341797683213,6.260869565217391,,0.0073232120447649825,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
strong_relation_fraud_1hop_count,numeric,0.0,9,0.8578802906239189,0.626617460500519,1.8041150369033616,6.08695652173913,,0.00015422124644558411,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
strategy_avoidance_ratio_30d,numeric,0.0,2000,0.8575158574558875,0.6490370199515627,2.236181350872376,6.956521739130435,,0.006452963165125609,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
community_fraud_ratio,numeric,0.0,55,0.8424287856071965,0.629800484373198,1.5931789371491634,5.565217391304348,,0.0022061063494735475,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
fiat_in_crypto_out_ratio,numeric,0.0,1996,0.8351009110829201,0.6102410333294891,1.991689722611369,6.608695652173913,,0.0036052356038729166,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
bank_fraud_ratio_max,numeric,0.0,2000,0.8179171952485296,0.6060200668896321,1.9168295015403287,6.608695652173913,,0.004545299272573847,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
small_fiat_deposit_count_24h,numeric,0.0,13,0.8152369968861723,0.5614807980625073,1.9546909316792234,6.17391304347826,,0.00011170344250959017,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
fraud_2hop_count,numeric,0.0,26,0.8146788144389344,0.504739937723446,1.4970146541718439,4.869565217391305,,0.009047810473596296,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
direct_related_user_count,numeric,0.0,29,0.7855933571675701,0.4400184523123054,1.068940444169115,3.7391304347826084,,0.002084337244083571,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
minutes_deposit_to_first_chain_out,numeric,0.0,2000,0.7744850651597279,0.46013147272517585,1.1008522533369531,0.2608695652173913,,0.005589693058459134,lower_risk,True,['Feature selection statistics use the development split only.']
chain_out_amount_24h,numeric,0.0,2000,0.7638288548033675,0.444954445853996,1.0776885628033495,4.608695652173913,,0.010079031322883606,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
fund_stay_minutes_median,numeric,0.0,2000,0.7605305039787797,0.4302617921808327,1.023806505474071,0.43478260869565216,,0.007566188533049726,lower_risk,True,['Feature selection statistics use the development split only.']
chain_out_5min_count_30d,numeric,0.0,7,0.7417852612155461,0.47334794141390846,0.0,5.391304347826087,,,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
chain_withdraw_count_24h,numeric,0.0,10,0.7245969323030793,0.4036443316803138,0.9717391898110573,4.434782608695652,,0.0005159767712404044,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
minutes_convert_to_chain_out,numeric,0.0,2000,0.6899273440202975,0.3546534425095145,0.5550429502204894,0.8695652173913043,,0.011197908049898227,lower_risk,True,['Feature selection statistics use the development split only.']
single_fiat_deposit_over_10000_cnt_30d,numeric,0.0,4,0.6867512397647331,0.36549417598892864,0.0,4.434782608695652,,,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
withdraw_address_fraud_1hop_count,numeric,0.0,6,0.6661976703955714,0.3277591973244147,0.0,3.7391304347826084,,,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
behavior_success_ratio_30d,numeric,0.0,1990,0.5834528889401452,0.16258793680083033,0.2580814924754167,2.260869565217391,,0.005947702156071155,higher_risk,True,"['Feature selection statistics use the development split only.', 'Top10% Lift>=2，具备策略抓手。']"
new_withdraw_address_flag,numeric,0.0,2,0.5608810979125821,0.12176219582516434,,1.5652173913043477,,,higher_risk,False,['Feature selection statistics use the development split only.']
behavior_event_diversity_30d,numeric,0.0,13,0.5326236881559221,0.07032637527390151,0.04984540343387588,1.2173913043478262,,0.00567212106033437,higher_risk,False,['Feature selection statistics use the development split only.']
