user_id,onboarding_score,dynamic_t1_score,combined_score,automatic_tier,final_tier,risk_source,recommended_actions,str_details_visible
U0001752,0.615008,0.596608,0.604336,L3.2,L3.2,manual_override,RFI|EDD|DAILY_LIMIT,False
U0004775,0.556764,0.629977,0.599228,L3.2,L3.2,automatic_t1,RFI|EDD|DAILY_LIMIT,False
U0009571,0.492176,0.661692,0.590495,L3.2,L3.2,automatic_t1,RFI|EDD|DAILY_LIMIT,False
U0008493,0.463984,0.676281,0.587116,L3.2,L3.2,automatic_t1,RFI|EDD|DAILY_LIMIT,False
U0009245,0.517473,0.610135,0.571217,L3.2,L3.2,automatic_t1,RFI|EDD|DAILY_LIMIT,False
U0007816,0.525093,0.60016,0.568632,L3.2,L3.2,automatic_t1,RFI|EDD|DAILY_LIMIT,False
U0006335,0.514537,0.605721,0.567424,L3.2,L3.2,automatic_t1,RFI|EDD|DAILY_LIMIT,False
U0004826,0.503048,0.605361,0.56239,L3.2,L3.2,automatic_t1,RFI|EDD|DAILY_LIMIT,False
U0000937,0.450551,0.643232,0.562306,L3.2,L3.2,automatic_t1,RFI|EDD|DAILY_LIMIT,False
U0001279,0.432743,0.654441,0.561328,L3.2,L3.2,automatic_t1,RFI|EDD|DAILY_LIMIT,False
U0001181,0.352905,0.699822,0.554117,L3.2,L3.2,automatic_t1,RFI|EDD|DAILY_LIMIT,False
U0003996,0.570204,0.535959,0.550342,L3.2,L3.2,automatic_t1,RFI|EDD|DAILY_LIMIT,False
U0000788,0.45427,0.614895,0.547432,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0004585,0.499486,0.579048,0.545632,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0003194,0.606394,0.500108,0.544748,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0009330,0.416327,0.626414,0.538178,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0009780,0.553878,0.524029,0.536566,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0001226,0.538478,0.534821,0.536357,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0002390,0.494456,0.55856,0.531636,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0006400,0.551398,0.516357,0.531074,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0007945,0.497193,0.547804,0.526547,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0005612,0.539505,0.511652,0.52335,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0002653,0.49796,0.522896,0.512422,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0004642,0.433666,0.569145,0.512244,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0007843,0.313747,0.652098,0.509991,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0006347,0.529336,0.490986,0.507093,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0008797,0.491615,0.518174,0.507019,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0009643,0.446769,0.549443,0.50632,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0002209,0.531937,0.486783,0.505748,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0007338,0.470082,0.526535,0.502825,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0007103,0.403018,0.573265,0.501762,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0000289,0.559186,0.457085,0.499967,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0006151,0.569167,0.443529,0.496297,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0005936,0.56816,0.443133,0.495645,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0001868,0.400177,0.563541,0.494928,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0003101,0.471134,0.511884,0.494769,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0002999,0.476232,0.501659,0.49098,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0002831,0.478266,0.498854,0.490207,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0004740,0.333206,0.603869,0.49019,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0008844,0.458389,0.513045,0.49009,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0007504,0.61142,0.390405,0.483232,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0008039,0.40614,0.53773,0.482462,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0000839,0.425804,0.523001,0.482178,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0002061,0.396361,0.543964,0.48197,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
U0002735,0.514343,0.457385,0.481308,L3.1,L3.1,automatic_t1,RFI|MANUAL_REVIEW,False
